                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.93263,                 0.6696,                0.84692,                0.84202,                      1,                0.98542,                0.78438,                0.79308,                0.72587,                0.82366,             0.00056272,             0.00056272,             0.00056272
                     57,                0.91134,                0.57947,                 0.8555,                0.93078,                      1,                0.99083,                0.75246,                0.81164,                0.68705,                0.82429,             0.00057064,             0.00057064,             0.00057064
                     58,                0.96521,                0.60557,                0.86402,                0.93078,                      1,                0.99083,                0.75246,                0.81164,                0.68705,                0.82429,             0.00057848,             0.00057848,             0.00057848
                     59,                 1.0132,                0.60067,                 0.8445,                0.93078,                      1,                0.99083,                0.75246,                0.81164,                0.68705,                0.82429,             0.00058623,             0.00058623,             0.00058623
                     60,                0.99753,                0.64401,                0.85322,                 0.9564,                      1,                0.99229,                0.74561,                0.85995,                0.59078,                0.83119,             0.00059391,             0.00059391,             0.00059391
                     61,                 1.0042,                0.68136,                0.84848,                 0.9564,                      1,                0.99229,                0.74561,                0.85995,                0.59078,                0.83119,              0.0006015,              0.0006015,              0.0006015
                     62,                0.95731,                0.68191,                0.86698,                 0.9564,                      1,                0.99229,                0.74561,                0.85995,                0.59078,                0.83119,             0.00060901,             0.00060901,             0.00060901
                     63,                 1.0407,                0.71564,                0.86943,                0.91548,                      1,                0.98122,                0.77635,                0.74721,                0.68434,                0.81993,             0.00061643,             0.00061643,             0.00061643
                     64,                0.96778,                 0.7451,                 0.8539,                0.91548,                      1,                0.98122,                0.77635,                0.74721,                0.68434,                0.81993,             0.00062378,             0.00062378,             0.00062378
                     65,                0.83945,                 1.1505,                0.85774,                0.91548,                      1,                0.98122,                0.77635,                0.74721,                0.68434,                0.81993,             0.00063104,             0.00063104,             0.00063104
                     66,                 1.0057,                 0.8833,                 0.8556,                0.93856,                      1,                0.98813,                0.76382,                0.74875,                0.76238,                0.81685,             0.00063822,             0.00063822,             0.00063822
                     67,                0.91964,                 0.5836,                0.85264,                0.93856,                      1,                0.98813,                0.76382,                0.74875,                0.76238,                0.81685,             0.00064532,             0.00064532,             0.00064532
                     68,                 1.0211,                0.65775,                0.84728,                0.93856,                      1,                0.98813,                0.76382,                0.74875,                0.76238,                0.81685,             0.00065233,             0.00065233,             0.00065233
                     69,                 1.0706,                0.65894,                0.83899,                0.92414,                0.98268,                0.99375,                0.77854,                  0.754,                0.64939,                0.82082,             0.00065926,             0.00065926,             0.00065926
